Index,Domestic Process Activity Name
1,Declaration APPROVED by ADMINISTRATION
2,Declaration APPROVED by BUDGET OWNER
3,Declaration APPROVED by PRE_APPROVER
4,Declaration FINAL_APPROVED by SUPERVISOR
5,Declaration FOR_APPROVAL by ADMINISTRATION
6,Declaration FOR_APPROVAL by PRE_APPROVER
7,Declaration FOR_APPROVAL by SUPERVISOR
8,Declaration REJECTED by ADMINISTRATION
9,Declaration REJECTED by BUDGET OWNER
10,Declaration REJECTED by EMPLOYEE
11,Declaration REJECTED by MISSING
12,Declaration REJECTED by PRE_APPROVER
13,Declaration REJECTED by SUPERVISOR
14,Declaration SAVED by EMPLOYEE
15,Declaration SUBMITTED by EMPLOYEE
16,Payment Handled
17,Request Payment
