concept:name,next_activity,mean,max,count
Declaration FINAL_APPROVED by SUPERVISOR,Payment Handled,81.57974867724867,284.23298611111113,7
Request Payment,Declaration REJECTED by MISSING,18.986153549382717,29.93912037037037,3
Declaration SAVED by EMPLOYEE,Request Payment,17.033344907407407,17.033344907407407,1
Declaration FINAL_APPROVED by SUPERVISOR,Declaration REJECTED by MISSING,11.027887866063738,293.36042824074076,86
Declaration REJECTED by MISSING,Declaration SUBMITTED by EMPLOYEE,8.560646630236795,137.0903935185185,61
Declaration REJECTED by SUPERVISOR,Request Payment,6.922326388888889,6.922326388888889,1
Declaration REJECTED by BUDGET OWNER,Declaration SUBMITTED by EMPLOYEE,6.092314814814815,6.092314814814815,1
Declaration SUBMITTED by EMPLOYEE,Declaration REJECTED by ADMINISTRATION,5.66256952954793,469.2779861111111,952
Declaration REJECTED by EMPLOYEE,Declaration SUBMITTED by EMPLOYEE,5.178536570219618,356.92226851851854,1081
Declaration APPROVED by BUDGET OWNER,Declaration REJECTED by SUPERVISOR,4.190312138310185,6.84974537037037,32
Declaration FOR_APPROVAL by PRE_APPROVER,Declaration REJECTED by MISSING,4.090810185185185,4.090810185185185,1
Declaration REJECTED by SUPERVISOR,Declaration REJECTED by EMPLOYEE,3.682775794807045,55.187916666666666,286
Request Payment,Payment Handled,3.57463030421699,62.145127314814815,10037
Declaration FINAL_APPROVED by SUPERVISOR,Request Payment,3.1628081992133597,234.6383449074074,10038
Declaration APPROVED by PRE_APPROVER,Declaration REJECTED by SUPERVISOR,2.998765782828283,6.782233796296296,11
Declaration APPROVED by BUDGET OWNER,Declaration FINAL_APPROVED by SUPERVISOR,2.8640914144282372,11.852592592592593,2788
Declaration REJECTED by ADMINISTRATION,Declaration SUBMITTED by EMPLOYEE,2.2094779483430798,9.883333333333333,19
Declaration APPROVED by ADMINISTRATION,Declaration REJECTED by SUPERVISOR,2.192540021929825,18.00863425925926,190
Declaration REJECTED by BUDGET OWNER,Declaration REJECTED by EMPLOYEE,2.1357387452107277,6.370185185185186,58
Declaration REJECTED by ADMINISTRATION,Declaration REJECTED by EMPLOYEE,2.043598950850096,27.16287037037037,928
Declaration SUBMITTED by EMPLOYEE,Declaration REJECTED by PRE_APPROVER,1.9471669089147288,71.00170138888889,86
Declaration REJECTED by SUPERVISOR,Declaration SUBMITTED by EMPLOYEE,1.9146238425925926,2.751145833333333,2
Declaration APPROVED by ADMINISTRATION,Declaration FINAL_APPROVED by SUPERVISOR,1.901976505959983,49.92363425925926,5133
Declaration APPROVED by ADMINISTRATION,Declaration APPROVED by BUDGET OWNER,1.8977886951667982,49.92974537037037,2820
Declaration APPROVED by PRE_APPROVER,Declaration FINAL_APPROVED by SUPERVISOR,1.8884119649137268,7.21244212962963,674
Payment Handled,Declaration REJECTED by EMPLOYEE,1.6252777777777778,1.6252777777777778,1
Declaration REJECTED by PRE_APPROVER,Declaration REJECTED by EMPLOYEE,1.4365938180827886,6.132974537037037,85
Declaration APPROVED by ADMINISTRATION,Declaration REJECTED by BUDGET OWNER,1.2829894460138103,11.162418981481482,59
Declaration SUBMITTED by EMPLOYEE,Declaration APPROVED by PRE_APPROVER,1.2414436503108948,119.06748842592593,685
Declaration SUBMITTED by EMPLOYEE,Declaration APPROVED by ADMINISTRATION,1.1557937511853478,282.58255787037035,8202
Declaration FOR_APPROVAL by ADMINISTRATION,Declaration SUBMITTED by EMPLOYEE,1.0164814814814815,1.0164814814814815,1
Declaration SUBMITTED by EMPLOYEE,Declaration FINAL_APPROVED by SUPERVISOR,0.9482471531997492,144.0970023148148,1536
Declaration FOR_APPROVAL by SUPERVISOR,Declaration REJECTED by MISSING,0.793599537037037,0.793599537037037,1
Declaration SUBMITTED by EMPLOYEE,Declaration REJECTED by SUPERVISOR,0.6481485339506173,22.13684027777778,60
Declaration REJECTED by PRE_APPROVER,Declaration SUBMITTED by EMPLOYEE,0.06302083333333333,0.06302083333333333,1
Declaration SUBMITTED by EMPLOYEE,Declaration FOR_APPROVAL by ADMINISTRATION,0.00681712962962963,0.00681712962962963,1
Declaration SUBMITTED by EMPLOYEE,Declaration FOR_APPROVAL by PRE_APPROVER,0.0019675925925925924,0.0019675925925925924,1
Declaration SUBMITTED by EMPLOYEE,Declaration REJECTED by EMPLOYEE,0.0001984126984126984,0.00045138888888888887,7
Declaration SUBMITTED by EMPLOYEE,Declaration FOR_APPROVAL by SUPERVISOR,3.472222222222222e-05,3.472222222222222e-05,1
