index,activity
0,Declaration APPROVED by ADMINISTRATION
1,Declaration APPROVED by BUDGET OWNER
2,Declaration APPROVED by PRE_APPROVER
3,Declaration APPROVED by SUPERVISOR
4,Declaration FINAL_APPROVED by DIRECTOR
5,Declaration FINAL_APPROVED by SUPERVISOR
6,Declaration REJECTED by ADMINISTRATION
7,Declaration REJECTED by BUDGET OWNER
8,Declaration REJECTED by DIRECTOR
9,Declaration REJECTED by EMPLOYEE
10,Declaration REJECTED by MISSING
11,Declaration REJECTED by PRE_APPROVER
12,Declaration REJECTED by SUPERVISOR
13,Declaration SAVED by EMPLOYEE
14,Declaration SUBMITTED by EMPLOYEE
15,End trip
16,Payment Handled
17,Permit APPROVED by ADMINISTRATION
18,Permit APPROVED by BUDGET OWNER
19,Permit APPROVED by PRE_APPROVER
20,Permit APPROVED by SUPERVISOR
21,Permit FINAL_APPROVED by DIRECTOR
22,Permit FINAL_APPROVED by SUPERVISOR
23,Permit REJECTED by ADMINISTRATION
24,Permit REJECTED by BUDGET OWNER
25,Permit REJECTED by DIRECTOR
26,Permit REJECTED by EMPLOYEE
27,Permit REJECTED by MISSING
28,Permit REJECTED by PRE_APPROVER
29,Permit REJECTED by SUPERVISOR
30,Permit SUBMITTED by EMPLOYEE
31,Request Payment
32,Send Reminder
33,Start trip
