id,org:resource,concept:name,time:timestamp,org:role,case:Permit travel permit number,case:DeclarationNumber,case:Amount,case:RequestedAmount,case:Permit TaskNumber,case:Permit BudgetNumber,case:OriginalAmount,case:Permit ProjectNumber,case:concept:name,case:Permit OrganizationalEntity,case:travel permit number,case:Permit RequestedBudget,case:id,case:Permit ID,case:Permit id,case:BudgetNumber,case:Permit ActivityNumber,case:AdjustedAmount
st_step 1004_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-03-01 10:55:17+00:00,EMPLOYEE,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
st_step 1005_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-03-01 10:55:21+00:00,ADMINISTRATION,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
st_step 1006_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-03-01 15:01:48+00:00,SUPERVISOR,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
rv_travel permit 992_6,STAFF MEMBER,Start trip,2018-03-19 00:00:00+00:00,EMPLOYEE,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
rv_travel permit 992_7,STAFF MEMBER,End trip,2018-03-23 00:00:00+00:00,EMPLOYEE,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
st_step 1016_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-03-27 16:15:02+00:00,EMPLOYEE,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
st_step 1018_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-04-03 17:07:56+00:00,ADMINISTRATION,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
st_step 1017_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-04-05 09:45:53+00:00,SUPERVISOR,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
fd_declaration 1002_17,SYSTEM,Request Payment,2018-04-05 17:25:23+00:00,UNDEFINED,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
fd_declaration 1002_18,SYSTEM,Payment Handled,2018-04-09 17:30:58+00:00,UNDEFINED,travel permit number 993,declaration number 1003,361.3922395272099,361.3922395272099,UNKNOWN,budget 994,361.3922395272099,UNKNOWN,declaration 1002,organizational unit 65460,travel permit number 993,1273.2520575530357,declaration 1002,travel permit 992,travel permit 992,budget 146827,activity 995,361.3922395272099
