Preceding Activity,Rejection Count
Declaration SUBMITTED by EMPLOYEE,1617
Declaration REJECTED by ADMINISTRATION,1510
Permit SUBMITTED by EMPLOYEE,125
Declaration REJECTED by SUPERVISOR,120
Declaration APPROVED by ADMINISTRATION,112
Declaration FINAL_APPROVED by SUPERVISOR,96
Permit REJECTED by SUPERVISOR,86
Declaration REJECTED by PRE_APPROVER,83
Permit REJECTED by ADMINISTRATION,80
Permit APPROVED by ADMINISTRATION,78
End trip,62
Declaration REJECTED by BUDGET OWNER,39
Permit REJECTED by BUDGET OWNER,31
Declaration APPROVED by BUDGET OWNER,26
Permit REJECTED by PRE_APPROVER,25
Permit APPROVED by BUDGET OWNER,15
Declaration APPROVED by PRE_APPROVER,15
Start trip,14
Permit FINAL_APPROVED by SUPERVISOR,10
Request Payment,10
Declaration FINAL_APPROVED by DIRECTOR,9
Permit APPROVED by PRE_APPROVER,7
Declaration APPROVED by SUPERVISOR,4
Declaration REJECTED by DIRECTOR,4
Permit FINAL_APPROVED by DIRECTOR,4
Declaration SAVED by EMPLOYEE,3
Declaration REJECTED by MISSING,2
Declaration REJECTED by EMPLOYEE,2
Permit APPROVED by SUPERVISOR,1
Permit REJECTED by DIRECTOR,1
Permit REJECTED by MISSING,1
