Rejection Activity,Total Occurrences,Affected Cases
Declaration REJECTED by EMPLOYEE,1780,1483
Declaration REJECTED by ADMINISTRATION,1549,1287
Permit REJECTED by EMPLOYEE,231,214
Declaration REJECTED by SUPERVISOR,126,122
Declaration REJECTED by MISSING,103,98
Permit REJECTED by SUPERVISOR,92,92
Declaration REJECTED by PRE_APPROVER,84,82
Permit REJECTED by ADMINISTRATION,83,80
Permit REJECTED by MISSING,43,42
Declaration REJECTED by BUDGET OWNER,40,40
Permit REJECTED by BUDGET OWNER,31,29
Permit REJECTED by PRE_APPROVER,25,24
Declaration REJECTED by DIRECTOR,4,4
Permit REJECTED by DIRECTOR,1,1
