case:concept:name,Activities_Repeated,Total_Extra_Steps
declaration 33726,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,12
declaration 27041,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 30193,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 18500,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 34821,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 35087,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 42176,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 42328,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 67830,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 60251,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 10961,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,10
declaration 16485,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,9
declaration 63081,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,9
declaration 6997,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE | Send Reminder,9
declaration 7022,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE | Send Reminder,9
declaration 8772,Permit APPROVED by ADMINISTRATION | Permit REJECTED by BUDGET OWNER | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE | Send Reminder,9
declaration 4604,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,8
declaration 62468,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration REJECTED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,8
declaration 83912,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration REJECTED by MISSING | Declaration SUBMITTED by EMPLOYEE,8
declaration 71387,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,8
declaration 54284,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration REJECTED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,8
declaration 18595,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit REJECTED by ADMINISTRATION | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,8
declaration 44452,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 58965,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 70872,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 67238,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 43622,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 70965,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 4130,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 40000,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 32217,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 83656,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration REJECTED by MISSING | Declaration SUBMITTED by EMPLOYEE,7
declaration 29195,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
