case:concept:name,concept:name,repeat_count
declaration 113462,Declaration SUBMITTED by EMPLOYEE,7
declaration 113462,Declaration REJECTED by EMPLOYEE,6
declaration 113123,Declaration REJECTED by ADMINISTRATION,6
declaration 113123,Declaration SUBMITTED by EMPLOYEE,6
declaration 113462,Declaration REJECTED by ADMINISTRATION,5
declaration 108210,Declaration SUBMITTED by EMPLOYEE,5
declaration 137336,Declaration SUBMITTED by EMPLOYEE,5
declaration 112825,Declaration SUBMITTED by EMPLOYEE,4
declaration 117374,Declaration SUBMITTED by EMPLOYEE,4
declaration 100971,Declaration SUBMITTED by EMPLOYEE,4
declaration 117811,Declaration SUBMITTED by EMPLOYEE,4
declaration 100971,Declaration APPROVED by ADMINISTRATION,4
declaration 123315,Declaration SUBMITTED by EMPLOYEE,4
declaration 111577,Declaration SUBMITTED by EMPLOYEE,4
declaration 127808,Declaration SUBMITTED by EMPLOYEE,4
declaration 99069,Declaration SUBMITTED by EMPLOYEE,4
declaration 142449,Declaration SUBMITTED by EMPLOYEE,4
declaration 90008,Declaration FINAL_APPROVED by SUPERVISOR,4
declaration 90008,Declaration SUBMITTED by EMPLOYEE,4
declaration 125284,Declaration SUBMITTED by EMPLOYEE,3
declaration 117374,Declaration REJECTED by ADMINISTRATION,3
declaration 117374,Declaration REJECTED by EMPLOYEE,3
declaration 99658,Declaration SUBMITTED by EMPLOYEE,3
declaration 112825,Declaration REJECTED by ADMINISTRATION,3
declaration 104233,Declaration SUBMITTED by EMPLOYEE,3
declaration 112825,Declaration REJECTED by EMPLOYEE,3
declaration 115924,Declaration SUBMITTED by EMPLOYEE,3
declaration 123315,Declaration REJECTED by ADMINISTRATION,3
declaration 99892,Declaration SUBMITTED by EMPLOYEE,3
declaration 119402,Declaration SUBMITTED by EMPLOYEE,3
declaration 104544,Declaration SUBMITTED by EMPLOYEE,3
declaration 120066,Declaration SUBMITTED by EMPLOYEE,3
declaration 122900,Declaration SUBMITTED by EMPLOYEE,3
declaration 100971,Declaration REJECTED by EMPLOYEE,3
declaration 108190,Declaration SUBMITTED by EMPLOYEE,3
declaration 108210,Declaration APPROVED by ADMINISTRATION,3
declaration 118962,Declaration SUBMITTED by EMPLOYEE,3
declaration 113197,Declaration SUBMITTED by EMPLOYEE,3
declaration 122199,Declaration SUBMITTED by EMPLOYEE,3
declaration 119418,Declaration SUBMITTED by EMPLOYEE,3
declaration 114842,Declaration SUBMITTED by EMPLOYEE,3
declaration 111361,Declaration SUBMITTED by EMPLOYEE,3
declaration 120217,Declaration SUBMITTED by EMPLOYEE,3
declaration 123315,Declaration REJECTED by EMPLOYEE,3
declaration 119445,Declaration SUBMITTED by EMPLOYEE,3
declaration 119023,Declaration SUBMITTED by EMPLOYEE,3
declaration 108754,Declaration SUBMITTED by EMPLOYEE,3
declaration 101937,Declaration SUBMITTED by EMPLOYEE,3
declaration 121058,Declaration SUBMITTED by EMPLOYEE,3
declaration 111577,Declaration APPROVED by ADMINISTRATION,3
declaration 111577,Declaration REJECTED by EMPLOYEE,3
declaration 122927,Declaration SUBMITTED by EMPLOYEE,3
declaration 118449,Declaration SUBMITTED by EMPLOYEE,3
declaration 120339,Declaration SUBMITTED by EMPLOYEE,3
declaration 113528,Declaration SUBMITTED by EMPLOYEE,3
declaration 111708,Declaration SUBMITTED by EMPLOYEE,3
declaration 105852,Declaration SUBMITTED by EMPLOYEE,3
declaration 109518,Declaration SUBMITTED by EMPLOYEE,3
